signal,hold_days,baseline_mean_pct,dip_n,dip_mean_pct,dip_p,dip_sig,run_n,run_mean_pct,run_p,run_sig
"Nday_ret(n=3,thresh=8%)",5,1.3462903642522814,67,2.4489376919264085,0.3863817847325487,False,134,0.8783427875247163,0.59101398119242,False
"Nday_ret(n=3,thresh=8%)",10,2.7026901898155673,67,5.689829614638333,0.12824896698027727,False,131,2.5414039550402183,0.879656413266682,False
"Nday_ret(n=3,thresh=8%)",20,5.461749835098581,65,8.968647791815236,0.13025208321841286,False,129,9.911181517529823,0.03614404887945958,False
"Nday_ret(n=5,thresh=3%)",1,0.263410958983171,338,0.32957159652694346,0.756119973757112,False,468,0.34020557034475085,0.6468415665932018,False
"Nday_ret(n=5,thresh=3%)",3,0.8018865405227369,338,0.8764214538465381,0.8335370486151913,False,468,0.7375399753143866,0.827746217974714,False
"Nday_ret(n=5,thresh=3%)",5,1.3462903642522814,338,1.6139660032975407,0.5707055536700912,False,467,1.3736791767985792,0.944504958883437,False
"Nday_ret(n=5,thresh=3%)",10,2.7026901898155673,338,3.2487771805319072,0.4308933387683378,False,464,2.716585876333683,0.9797879309732238,False
"Nday_ret(n=5,thresh=3%)",20,5.461749835098581,333,5.2014135254638365,0.7679186352231588,False,460,7.130317230356745,0.08608568773353803,False
"Nday_ret(n=5,thresh=5%)",1,0.263410958983171,212,0.34743344716918095,0.7768258906686676,False,356,0.3394232276782791,0.6919444897620648,False
"Nday_ret(n=5,thresh=5%)",3,0.8018865405227369,212,0.9306393036438235,0.7915897268976523,False,356,0.5891625668770789,0.5413280538101102,False
"Nday_ret(n=5,thresh=5%)",5,1.3462903642522814,212,1.8308486712355445,0.44952010958718164,False,355,1.1592914762013664,0.6914376120268221,False
"Nday_ret(n=5,thresh=5%)",10,2.7026901898155673,212,3.3989190043779303,0.4509067526106633,False,352,2.9457917656914243,0.7184491776713663,False
"Nday_ret(n=5,thresh=5%)",20,5.461749835098581,207,5.352904431887009,0.9236528875826588,False,349,8.383235504966724,0.01589475470372226,False
"Nday_ret(n=5,thresh=8%)",1,0.263410958983171,118,0.46532875282925085,0.6534903867463239,False,220,0.3243734996371653,0.8184789942166932,False
"Nday_ret(n=5,thresh=8%)",3,0.8018865405227369,118,1.1810825797301285,0.5860429991683095,False,220,0.351090459426952,0.33678822277526405,False
"Nday_ret(n=5,thresh=8%)",5,1.3462903642522814,118,2.4155707736274485,0.24971118402217587,False,219,0.8539842753292318,0.436027491605,False
"Nday_ret(n=5,thresh=8%)",10,2.7026901898155673,118,5.103233789932538,0.0726302250948689,False,217,2.6073777327307255,0.9121678963082082,False
"Nday_ret(n=5,thresh=8%)",20,5.461749835098581,114,7.584593591701118,0.17468181177167552,False,215,9.641229894355426,0.012674648654692859,False
RSI14(<30/>70),1,0.263410958983171,110,0.6156548485603314,0.33434770746456666,False,231,0.37244900920689833,0.6302201511792312,False
RSI14(<30/>70),3,0.8018865405227369,110,1.666624468051199,0.13464067546303038,False,230,1.1269400270941443,0.440310826611562,False
RSI14(<30/>70),5,1.3462903642522814,110,2.4290401417421768,0.12029284759262736,False,230,2.154166803065133,0.14928659676998535,False
RSI14(<30/>70),10,2.7026901898155673,110,5.139480210811944,0.0047045488147668645,False,230,5.47039105961064,0.001031922947078054,False
RSI14(<30/>70),20,5.461749835098581,110,8.044651855553134,0.02449029525235061,False,230,11.999246357983369,2.1200881053109748e-06,True
"Zscore(SMA20,thresh=1.0)",1,0.263410958983171,265,0.46982425562187974,0.35890579412698925,False,402,0.2523683179842543,0.9499954933936996,False
"Zscore(SMA20,thresh=1.0)",3,0.8018865405227369,265,1.0211757505398142,0.5487440830119028,False,400,0.5929091269170391,0.5050501752542818,False
"Zscore(SMA20,thresh=1.0)",5,1.3462903642522814,265,1.527585574101534,0.6905466054482748,False,400,0.9584723145542605,0.3557303548453053,False
"Zscore(SMA20,thresh=1.0)",10,2.7026901898155673,265,3.3701849704498645,0.2934873359923461,False,397,2.7685566710555363,0.9145216075476249,False
