ticker,date,entry_minute,entry_px,ret_pct,spread_pct
SNDK,2026-05-05,0,1294.96,0.18842280842652492,0.02017270942763746
HOOD,2026-05-05,2,78.01,-0.0592744519933297,0.03869220352099199
ALB,2026-05-05,7,196.2,-0.06266055045871521,0.2555583950932788
BLDR,2026-05-05,59,75.74,-0.12094005809347719,0.23885350318472243
IP,2026-05-05,1,31.74,-0.20000000000000018,0.4765687053216906
CVNA,2026-05-05,3,76.326,0.5505332390011386,0.5129425451468754
QCOM,2026-05-06,2,195.95,0.5894360806328214,0.1694958781684237
INTC,2026-05-06,3,111.62,0.8818670489159519,0.036271309394261916
TER,2026-05-06,3,370.51,0.4653153761032147,0.2625275721612588
NCLH,2026-05-06,0,17.72,0.1379232505643424,0.3996574364830162
BLDR,2026-05-06,0,79.29,0.05173414049690628,2.0826595951102767
ARE,2026-05-06,0,44.95,2.419888765294753,1.0584393649363784
DOW,2026-05-06,8,38.32,-0.19999999999998908,0.05254860746191048
LUV,2026-05-06,0,41.78,-0.20000000000000018,1.9668985368193819
SMCI,2026-05-07,0,34.25,0.12052554744526045,0.3822967210704384
PODD,2026-05-07,0,156.55,-0.008751197700429536,1.1502095720830556
BLDR,2026-05-07,0,82.46,0.44145040019403226,3.115264797507788
ALB,2026-05-07,1,208.6,2.3835091083413307,0.7930751003433505
CF,2026-05-07,2,115.85,-0.191385412170908,0.26141512722202614
APP,2026-05-07,0,468.5,0.09822838847384219,0.7565095003518644
QCOM,2026-05-08,2,213.64,0.4353117393746553,0.22169288460177775
SNDK,2026-05-08,0,1404.56,0.18653528507148742,0.23379734216886416
TECH,2026-05-08,1,50.38,0.017903930131013546,2.3108610469205377
MRNA,2026-05-08,0,49.69,0.44270476957133376,0.24459845087647256
INTC,2026-05-11,2,132.41,0.05626463258061598,0.12228676245796134
MRNA,2026-05-11,30,58.78,-0.01323579448793133,0.08581481163648358
SNDK,2026-05-11,2,1596.19,-0.19687380574994195,0.15736436803038642
QCOM,2026-05-11,0,238.72,1.4095425603217082,0.05603327514493026
RDDT,2026-05-11,3,155.17,0.8162015853580007,0.5651736122389349
APP,2026-05-11,1,458.02,0.7652722588533223,0.42072048382855987
AXON,2026-05-11,0,398.52,0.2182123858275542,0.8531321595382465
LITE,2026-05-12,5,1032.05,0.9391347318443932,0.11366085951125521
COHR,2026-05-12,5,374.29,0.7652301691202013,0.26343377866186884
WDC,2026-05-12,1,500.55,-0.036507841374489036,0.1968227189652671
MRNA,2026-05-12,0,52.6,0.5399619771863096,0.2683534598428226
COIN,2026-05-12,0,214.04,0.03313399364603953,0.2831524303916915
HOOD,2026-05-12,0,79.38,0.41604938271606606,0.20232675771370331
MTD,2026-05-13,1,1062.41,-0.20000000000000018,0.7132269018200048
INTC,2026-05-14,1,115.53,-0.035869471133043174,0.10518934081346823
LITE,2026-05-14,1,1005.61,0.21781406310596996,0.22309091457226107
MRNA,2026-05-14,0,50.06,0.4379544546544212,0.5469462169553391
TECH,2026-05-14,0,45.78,-0.17820008737440274,3.184431667403799
J,2026-05-14,0,109.23,-0.19999999999998908,1.8172686178713255
CHTR,2026-05-14,0,146.36,0.09320852691991899,1.3730929264909777
VST,2026-05-14,1,142.39,-0.04580377835521343,0.5432290380612944
GLW,2026-05-15,48,199.5,-0.12996491228071116,0.18619631130010544
MU,2026-05-15,0,741.54,0.5913585241524411,0.12277805819679649
COHR,2026-05-15,48,384.39,0.14790707354510602,0.1699813020567827
MRNA,2026-05-15,0,49.0,-0.20000000000000018,0.41356492969396785
VRT,2026-05-15,19,365.71,0.04287550244730376,0.23132848645076887
FDS,2026-05-15,0,207.97,-0.20000000000000018,3.052560814680176
BLDR,2026-05-15,0,73.0,-0.20000000000000018,1.7271157167530224
TECH,2026-05-18,17,44.18,0.5228610230873842,0.5448354143019342
COIN,2026-05-18,17,191.21,0.029653260812723126,0.14747708838091284
INTC,2026-05-18,0,114.37,0.567893678412168,0.15856236786468692
CRL,2026-05-18,17,153.29,0.6854328397155829,0.7272250794378651
APP,2026-05-18,0,499.26,0.0918479349437229,1.0050251256281406
TTD,2026-05-18,0,21.17,1.0256967406707451,1.0944563407090193
SNDK,2026-05-19,0,1297.65,1.3650830347166076,0.0069609606125582025
GLW,2026-05-19,1,176.08,0.5141526578827715,0.5673515000429864
MU,2026-05-19,0,669.93,1.5295508485961395,0.20604757142105215
VRT,2026-05-19,6,332.22,0.5239720667027825,0.45982611873258245
FIX,2026-05-19,5,1818.22,0.4048750976229476,1.6581947118381175
ZTS,2026-05-19,28,79.74,-0.04981188863807384,0.1382865044943107
TTD,2026-05-19,0,22.66,1.0331862312444873,0.1772264067345997
INTC,2026-05-20,0,118.11,0.5520277707222077,0.13768178297909886
MRNA,2026-05-20,0,46.6,-0.20000000000001128,0.5220796171416184
FIX,2026-05-20,4,1876.23,-0.046275776424009596,
CEG,2026-05-20,27,274.55,-0.018248042250945673,0.1351326674092893
NCLH,2026-05-20,16,15.04,-0.20000000000000018,0.06655574043261091
FDS,2026-05-20,0,220.41,-0.20000000000000018,3.402987769102312
VRT,2026-05-20,50,326.98,0.03806960670376114,0.15717697819554383
SMCI,2026-05-21,1,33.27,0.009978960024059624,0.09081277433023774
RDDT,2026-05-21,0,146.2,0.6874145006840138,0.7538296621598084
VRT,2026-05-21,7,323.91,0.20670556636102067,0.1549186676994578
DASH,2026-05-21,33,158.37,-0.12437961735176639,0.3551947228212624
MRVL,2026-05-21,20,193.22,-0.008891419107748266,0.05706430109199555
NCLH,2026-05-21,29,15.69,-0.07278521351178346,0.06387735547748187
RCL,2026-05-21,22,249.55,-0.1880024043277806,0.25853362956978987
ZTS,2026-05-22,11,81.25,0.0579446153845975,0.14791076050783256
ALB,2026-05-22,8,172.61,0.04861827240598693,0.19815829350740383
F,2026-05-22,0,13.86,0.8080808080808133,0.508905852417292
SNDK,2026-05-26,3,1543.25,0.7538635995464116,0.10465724751438443
ECHO,2026-05-26,5,130.03,-0.04649696223948396,0.3390614163520056
INTU,2026-05-26,48,316.96,-0.20000000000000018,0.1044155104494563
DELL,2026-05-26,0,304.3,0.5182451528097376,0.7465781833264206
TTD,2026-05-26,0,22.16,0.07021660649817463,0.2727272727272831
RDDT,2026-05-26,32,144.2,0.28446601941747307,0.23640661938534516
NCLH,2026-05-26,0,16.97,0.09404832056569834,0.2378121284185443
FIX,2026-05-26,7,1886.81,-0.193652779029152,0.33725375281377395
CVNA,2026-05-26,0,70.68,0.9578381437464589,1.2112575703598067
SNDK,2026-05-27,2,1653.28,0.13140302912997281,0.15084066075566321
SMCI,2026-05-27,2,38.45,0.7603641092327473,0.07844162635638943
COIN,2026-05-27,0,177.53,0.5308060609474419,0.22662889518412307
NCLH,2026-05-27,0,18.02,1.0738068812430557,0.33764772087789685
APA,2026-05-27,12,36.55,-0.008864569083444351,0.16438356164384185
RCL,2026-05-27,1,279.83,0.3813315227102043,0.8381924198250771
UAL,2026-05-27,1,111.02,0.5640965591785285,0.4104154316202315
QCOM,2026-05-28,43,237.51,0.00589448865311315,0.14363567234168537
CIEN,2026-05-28,2,602.89,-0.06757119872613515,0.6424553110748666
COIN,2026-05-28,22,171.84,-0.136114990689018,0.16939747072051875
APP,2026-05-28,0,571.23,0.6124048106717073,0.3540956770078042
NCLH,2026-05-28,0,17.95,-0.14440111420612745,0.7384265833570154
TTD,2026-05-28,2,21.4,0.07981308411215693,0.2836879432624053
HOOD,2026-05-28,20,75.14,0.09220122438113876,0.026716537536748908
SMCI,2026-05-29,0,45.02,0.8640604175921718,0.2249718785151888
QCOM,2026-05-29,0,251.3,0.030338241146043998,0.15987210231814775
COIN,2026-05-29,3,182.0,0.041274725274731416,0.3279508629554348
F,2026-05-29,1,16.95,0.3299115044247847,0.05915409642118641
HOOD,2026-05-29,1,86.12,0.4953088713423037,0.1998236849838398
DLTR,2026-05-29,0,111.79,-0.01252348152787075,1.770544576589457
NOW,2026-06-01,7,136.87,-0.17812522831883726,0.1251887035605048
WDAY,2026-06-01,0,153.05,-0.19999999999998908,1.3157894736842104
INTC,2026-06-01,5,110.45,-0.07349932095971345,0.04581901489119026
COIN,2026-06-01,17,180.07,0.11591047925807452,0.11143923775560742
RDDT,2026-06-01,17,180.65,0.11489620813727175,0.2606405101899342
AXON,2026-06-01,0,459.87,-0.11319285885141861,1.092896174863388
CF,2026-06-01,0,116.0,0.13553448275862578,1.0003914575268633
VEEV,2026-06-01,8,183.85,0.511112319825946,0.3025385736681333
NCLH,2026-06-01,0,17.97,0.8552031163049589,0.8913649025069645
MRVL,2026-06-02,0,256.96,1.7963107098381226,0.5950387169231452
LITE,2026-06-02,0,946.93,2.422183265922495,0.43540899631823715
AXON,2026-06-02,0,469.93,-0.05983444342774202,3.7493629986229973
COIN,2026-06-02,5,177.66,-0.20000000000000018,0.30529172320216647
DLTR,2026-06-02,0,113.75,0.48434285714284986,2.809435462496693
HOOD,2026-06-02,0,89.08,-0.13277952402335202,0.24811097327168022
MRVL,2026-06-03,1,319.06,0.18786435153261838,0.1905608842025099
HPE,2026-06-03,0,55.38,-0.1459371614301208,1.6130527486789608
AXON,2026-06-03,49,484.0,0.014446280991742277,0.4371018695944806
MRVL,2026-06-04,1,285.94,0.274673008323445,0.18828712009519963
NOW,2026-06-04,8,122.48,0.3948236446766673,0.14822134387352343
SMCI,2026-06-04,0,45.98,1.0806002609830445,0.5975434325550584
CHTR,2026-06-04,1,132.3,-0.011413454270592371,0.6902567603443673
TTD,2026-06-04,26,21.04,0.03716730038023641,0.04763038818767118
FDS,2026-06-04,17,260.86,-0.18469677221498726,1.0043701602392106
GPN,2026-06-04,7,69.62,-0.20000000000000018,0.3324420033244258
VEEV,2026-06-04,0,184.06,-0.0427577963707515,3.3333333333333335
LITE,2026-06-05,2,916.85,0.7350297213284618,0.3470963631770266
COHR,2026-06-05,44,407.13,0.0868027411391914,0.1332741003998133
APP,2026-06-05,0,584.11,0.3364948383010047,0.6920415224913495
