rank,indicators,n_indicators,n_trades,win_rate_blind,avg_return_blind,median_return_blind,win_rate_trail,avg_return_trail,median_return_trail,std_return_trail
294,MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100,4,83,42.168674698795186,-0.1570263391743695,-0.21617931505290444,55.42168674698795,0.14963845464965186,0.04182857142856327,0.41393137087031373
295,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2,5,25,36.0,-0.012061634650300074,-1.347275286547345,56.00000000000001,0.14946700547622715,0.08368428695904966,0.4047983635493252
296,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2,6,25,36.0,-0.012061634650300074,-1.347275286547345,56.00000000000001,0.14946700547622715,0.08368428695904966,0.4047983635493252
297,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & ROC10_pos,6,25,36.0,-0.012061634650300074,-1.347275286547345,56.00000000000001,0.14946700547622715,0.08368428695904966,0.4047983635493252
298,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & ROC10_pos,7,25,36.0,-0.012061634650300074,-1.347275286547345,56.00000000000001,0.14946700547622715,0.08368428695904966,0.4047983635493252
299,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21,6,67,41.7910447761194,-0.0984724808137051,-0.21617931505290444,58.2089552238806,0.1492983977850587,0.06549384796898514,0.40729778452127424
300,MACD_bull & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,5,144,43.05555555555556,-0.11678400362020414,-0.2648951083541289,61.111111111111114,0.1492144253471114,0.056855053635740414,0.42980653113491446
301,RSI_50_70 & MACD_bull & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,6,141,43.262411347517734,-0.0969513487303665,-0.260360164894781,61.702127659574465,0.1489891639250007,0.06307985779935768,0.43292491065072036
302,RSI_50_70 & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21,6,64,26.5625,-0.6834503499003878,-1.0582671709821807,59.375,0.14898855912951045,0.0831627676144267,0.387275266329145
303,RSI_50_70 & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,7,64,26.5625,-0.6834503499003878,-1.0582671709821807,59.375,0.14898855912951045,0.0831627676144267,0.387275266329145
304,MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,5,81,32.098765432098766,-0.6177951454602798,-0.7495069033530621,60.49382716049383,0.1487612340853992,0.06799197047205191,0.39644141242974273
305,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,6,81,32.098765432098766,-0.6177951454602798,-0.7495069033530621,60.49382716049383,0.1487612340853992,0.06799197047205191,0.39644141242974273
306,RSI_50_70 & MACD_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,5,1315,50.11406844106464,0.06201449583331267,0.010118823903560385,53.76425855513308,0.14850974258986063,0.022760670445369263,0.47805580405629255
307,RSI_50_70 & MACD_bull & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21,6,73,30.136986301369863,-0.5194515830800165,-0.9626274065685172,61.64383561643836,0.14817039845657562,0.0681087879101561,0.39792234241279734
308,RSI_50_70 & MACD_bull & VolRatio_gt1.2 & EMA9_gt_EMA21,4,1369,50.47479912344777,0.07875205033337335,0.028253908457324284,53.3235938641344,0.1479802883497674,0.019765793988214094,0.48249537945900484
309,BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2,3,105,34.285714285714285,-0.6413422249946797,-0.7495069033530621,60.0,0.14742228004757146,0.0681087879101561,0.3860750333048103
310,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & ROC10_pos,5,238,49.57983193277311,-0.019278582135300305,-0.003706037134488717,51.26050420168067,0.14722635609472565,0.006896579555087578,0.4966693551193067
311,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & ROC10_pos,6,73,41.0958904109589,-0.199530214785243,-0.2202169943065832,54.794520547945204,0.1469702050966555,0.04182857142856327,0.41922434103721723
312,RSI_50_70 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,6,38,31.57894736842105,-0.3275882137641082,-1.1627854367540427,50.0,0.14693726389429615,0.033199958999001904,0.4614617080994936
313,RSI_50_70 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,7,38,31.57894736842105,-0.3275882137641082,-1.1627854367540427,50.0,0.14693726389429615,0.033199958999001904,0.4614617080994936
314,MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & ROC10_pos,6,63,42.857142857142854,0.06031492827153246,-0.32846715328466325,50.79365079365079,0.1469211241787572,0.013110260949016081,0.5464839284991816
315,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,8,64,43.75,-0.040064258180276896,-0.21101174997734226,57.8125,0.14688677027056118,0.06563476465534901,0.40761635649948846
316,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100,6,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
317,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100,7,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
318,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,7,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
319,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,7,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
320,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,8,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
321,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,8,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
322,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,8,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
323,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,9,21,33.33333333333333,-0.15095069773117345,-1.347275286547345,57.14285714285714,0.1467685528305284,0.08368428695904966,0.40194065582117866
324,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & ROC10_pos,7,66,40.909090909090914,-0.16008061136222226,-0.2441118472370468,56.060606060606055,0.14660812435777934,0.05366120969877421,0.40048204601509313
325,MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & ROC10_pos,6,78,33.33333333333333,-0.6156073678909546,-0.7456895197542055,58.97435897435898,0.14638877312782816,0.05931110997208753,0.4028191760350722
326,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & ROC10_pos,7,78,33.33333333333333,-0.6156073678909546,-0.7456895197542055,58.97435897435898,0.14638877312782816,0.05931110997208753,0.4028191760350722
327,MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,6,62,30.64516129032258,-0.7161031414667728,-0.9919197638903199,58.06451612903226,0.14622335548623278,0.07537501808997991,0.39407550425829485
328,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,7,62,30.64516129032258,-0.7161031414667728,-0.9919197638903199,58.06451612903226,0.14622335548623278,0.07537501808997991,0.39407550425829485
329,MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,7,62,30.64516129032258,-0.7161031414667728,-0.9919197638903199,58.06451612903226,0.14622335548623278,0.07537501808997991,0.39407550425829485
330,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,8,62,30.64516129032258,-0.7161031414667728,-0.9919197638903199,58.06451612903226,0.14622335548623278,0.07537501808997991,0.39407550425829485
331,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2,4,239,49.37238493723849,-0.02682987575107731,-0.007412074268977434,51.04602510460251,0.14612892571588376,0.004272634791449592,0.49591828829504314
332,MACD_bull & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,7,73,30.136986301369863,-0.5099804019408544,-0.9626274065685172,60.273972602739725,0.14612711279178345,0.06799197047205191,0.39396511403957396
