ticker,n,win_rate,avg_net_credit_dollars,avg_max_risk_dollars,short_mult,wing_mult,iv_mult,max_move_bound
MSFT,1,0.0,174.11,325.89,1.0,1.3,1.6,0.25
MU,6,0.3333333333333333,280.16166666666663,553.1716666666667,1.0,1.3,1.6,0.25
NFLX,1,0.0,33.57,66.43,1.0,1.3,1.6,0.25
NOW,2,0.0,85.765,164.23499999999999,1.0,1.3,1.6,0.25
NVDA,7,0.42857142857142855,92.00571428571429,172.28,1.0,1.3,1.6,0.25
PLTR,3,0.0,86.03999999999999,163.96,1.0,1.3,1.6,0.25
QCOM,8,0.5,98.215,183.035,1.0,1.3,1.6,0.25
ROST,1,0.0,85.72,164.28,1.0,1.3,1.6,0.25
SHOP,3,0.0,72.89333333333333,127.10666666666668,1.0,1.3,1.6,0.25
SLB,3,0.6666666666666666,47.236666666666665,102.76333333333334,1.0,1.3,1.6,0.25
SNAP,2,0.0,57.010000000000005,117.99,1.0,1.3,1.6,0.25
TGT,1,0.0,85.92999999999999,164.07,1.0,1.3,1.6,0.25
TJX,1,0.0,77.14999999999999,172.85,1.0,1.3,1.6,0.25
TSLA,11,0.45454545454545453,182.13363636363638,386.0481818181818,1.0,1.3,1.6,0.25
UBER,1,1.0,34.63,65.36999999999999,1.0,1.3,1.6,0.25
UNH,1,0.0,180.92,319.08000000000004,1.0,1.3,1.6,0.25
V,1,1.0,179.39000000000001,320.61,1.0,1.3,1.6,0.25
ADBE,2,0.5,62.985,437.01500000000004,1.8,2.0,1.3,0.12
AMD,4,0.75,53.8725,446.12749999999994,1.8,2.0,1.3,0.12
BA,1,1.0,31.81,218.19000000000003,1.8,2.0,1.3,0.12
COIN,8,0.75,41.1975,302.5525,1.8,2.0,1.3,0.12
COST,1,1.0,57.74,442.26,1.8,2.0,1.3,0.12
CRM,1,1.0,46.67,453.33,1.8,2.0,1.3,0.12
CVX,1,1.0,28.38,221.62,1.8,2.0,1.3,0.12
F,1,0.0,5.390000000000001,94.61,1.8,2.0,1.3,0.12
GM,1,1.0,11.219999999999999,88.78,1.8,2.0,1.3,0.12
GS,1,1.0,62.77,437.23,1.8,2.0,1.3,0.12
JD,1,1.0,22.650000000000002,227.35,1.8,2.0,1.3,0.12
LLY,1,0.0,92.0,908.0,1.8,2.0,1.3,0.12
META,2,1.0,62.06,437.94000000000005,1.8,2.0,1.3,0.12
MSFT,1,0.0,69.26,430.74,1.8,2.0,1.3,0.12
MU,3,0.3333333333333333,106.06666666666669,810.6,1.8,2.0,1.3,0.12
NFLX,1,1.0,32.15,217.85000000000002,1.8,2.0,1.3,0.12
NOW,1,0.0,35.480000000000004,214.52,1.8,2.0,1.3,0.12
NVDA,1,0.0,31.619999999999997,218.38000000000002,1.8,2.0,1.3,0.12
PLTR,2,0.5,23.849999999999998,151.15,1.8,2.0,1.3,0.12
QCOM,1,1.0,31.64,218.36,1.8,2.0,1.3,0.12
SHOP,4,0.25,26.575000000000003,185.92499999999998,1.8,2.0,1.3,0.12
SLB,1,1.0,13.48,86.52,1.8,2.0,1.3,0.12
SNAP,2,0.0,4.66,95.34,1.8,2.0,1.3,0.12
TSLA,5,0.6,55.467999999999996,394.53200000000004,1.8,2.0,1.3,0.12
V,1,1.0,66.2,433.8,1.8,2.0,1.3,0.12
ADBE,2,0.5,62.985,437.01500000000004,1.8,2.0,1.3,0.25
AMD,4,0.75,53.8725,446.12749999999994,1.8,2.0,1.3,0.25
BA,1,1.0,31.81,218.19000000000003,1.8,2.0,1.3,0.25
