short_mult,wing_mult,iv_mult,max_move_bound,n,win_rate,pooled_breakeven_win_rate,margin_vs_breakeven_pts,mean_risk_reward_ratio,avg_net_credit_dollars,avg_max_risk_dollars,avg_payoff_pct_spot,avg_payoff_pct_credit
1.4,1.6,1.6,0.25,78,0.48717948717948717,0.7816353135313531,-29.44558263518659,3.618484392627422,84.82628205128205,303.63525641025643,-0.0027321177728529505,-0.616178128778214
1.4,2.0,1.3,0.12,154,0.4675324675324675,0.8352756756756757,-36.774320814320824,5.479144108366113,85.08974025974025,431.4687012987013,-0.007377564975977123,-1.5794324750886775
1.4,2.0,1.3,0.25,154,0.4675324675324675,0.8352756756756757,-36.774320814320824,5.479144108366113,85.08974025974025,431.4687012987013,-0.007377564975977123,-1.5794324750886775
1.4,2.0,1.6,0.12,240,0.4708333333333333,0.835810158013544,-36.49768246802106,5.256385865158543,90.92012500000001,462.8298749999999,-0.007573163996583904,-1.3868436893720864
1.4,2.0,1.6,0.25,240,0.4708333333333333,0.835810158013544,-36.49768246802106,5.256385865158543,90.92012500000001,462.8298749999999,-0.007573163996583904,-1.3868436893720864
1.4,2.5,1.3,0.12,187,0.44385026737967914,0.8759575104311543,-43.21072430514752,8.388989780868188,95.3866844919786,673.5972727272726,-0.014956524387765091,-2.6985978151131023
1.4,2.5,1.3,0.25,187,0.44385026737967914,0.8759575104311543,-43.21072430514752,8.388989780868188,95.3866844919786,673.5972727272726,-0.014956524387765091,-2.6985978151131023
1.4,2.5,1.6,0.12,300,0.47333333333333333,0.8769103617412631,-40.35770284079298,7.716463482541343,100.3796,715.1204000000001,-0.01308463392729283,-2.1805458371320703
1.4,2.5,1.6,0.25,300,0.47333333333333333,0.8769103617412631,-40.35770284079298,7.716463482541343,100.3796,715.1204000000001,-0.01308463392729283,-2.1805458371320703
1.4,3.0,1.3,0.12,201,0.4427860696517413,0.9049398217297037,-46.21537520779624,12.534348784987722,98.15791044776118,934.4291542288557,-0.021314000161975512,-4.624170697847903
1.4,3.0,1.3,0.25,201,0.4427860696517413,0.9049398217297037,-46.21537520779624,12.534348784987722,98.15791044776118,934.4291542288557,-0.021314000161975512,-4.624170697847903
1.4,3.0,1.6,0.12,308,0.4707792207792208,0.9055137099063298,-43.47344891271091,10.65235467508618,108.07636363636364,1035.7548051948052,-0.018248085862962685,-3.143248303556981
1.4,3.0,1.6,0.25,308,0.4707792207792208,0.9055137099063298,-43.47344891271091,10.65235467508618,108.07636363636364,1035.7548051948052,-0.018248085862962685,-3.143248303556981
1.6,2.0,1.3,0.12,112,0.5625,0.8640626016260163,-30.156260162601633,6.744125186925784,59.71535714285714,379.5703571428572,-0.00622154613467135,-1.8017180501792178
1.6,2.0,1.3,0.25,112,0.5625,0.8640626016260163,-30.156260162601633,6.744125186925784,59.71535714285714,379.5703571428572,-0.00622154613467135,-1.8017180501792178
1.6,2.0,1.6,0.12,169,0.5029585798816568,0.8611828054298643,-35.82242255482074,6.3564208690857535,63.53556213017752,394.1567455621302,-0.006667094140652981,-1.7032599634758443
1.6,2.0,1.6,0.25,169,0.5029585798816568,0.8611828054298643,-35.82242255482074,6.3564208690857535,63.53556213017752,394.1567455621302,-0.006667094140652981,-1.7032599634758443
1.6,2.5,1.3,0.12,177,0.5028248587570622,0.899764895877603,-39.694003712054084,10.19773227490647,66.625197740113,598.0640677966102,-0.011967591394056029,-2.9486278914364075
1.6,2.5,1.3,0.25,177,0.5028248587570622,0.899764895877603,-39.694003712054084,10.19773227490647,66.625197740113,598.0640677966102,-0.011967591394056029,-2.9486278914364075
1.6,2.5,1.6,0.12,289,0.5121107266435986,0.8986307495523151,-38.65200229087166,9.511240826759666,68.5557785467128,607.7417993079584,-0.011371629589817252,-2.7166853543818967
1.6,2.5,1.6,0.25,289,0.5121107266435986,0.8986307495523151,-38.65200229087166,9.511240826759666,68.5557785467128,607.7417993079584,-0.011371629589817252,-2.7166853543818967
1.6,3.0,1.3,0.12,196,0.4846938775510204,0.9237517877094972,-43.905791015847676,15.568334874462803,69.63484693877551,843.6304591836735,-0.017821284287818363,-5.364556939703599
1.6,3.0,1.3,0.25,196,0.4846938775510204,0.9237517877094972,-43.905791015847676,15.568334874462803,69.63484693877551,843.6304591836735,-0.017821284287818363,-5.364556939703599
1.6,3.0,1.6,0.12,302,0.5132450331125827,0.9252685936992531,-41.202356058667036,13.739715147497627,76.19139072847683,943.3450331125828,-0.01615397614459441,-3.7527849976125056
1.6,3.0,1.6,0.25,302,0.5132450331125827,0.9252685936992531,-41.202356058667036,13.739715147497627,76.19139072847683,943.3450331125828,-0.01615397614459441,-3.7527849976125056
1.8,2.0,1.3,0.12,48,0.6041666666666666,0.8827550802139037,-27.858841354723708,8.04415126072945,45.67666666666667,343.9066666666667,-0.006602361054299825,-2.3945577574491765
1.8,2.0,1.3,0.25,48,0.6041666666666666,0.8827550802139037,-27.858841354723708,8.04415126072945,45.67666666666667,343.9066666666667,-0.006602361054299825,-2.3945577574491765
1.8,2.0,1.6,0.12,70,0.5714285714285714,0.8780176056338028,-30.658903420523142,7.2017828477527495,49.49,356.2242857142857,-0.004180915750385623,-1.6561353286468996
1.8,2.0,1.6,0.25,70,0.5714285714285714,0.8780176056338028,-30.658903420523142,7.2017828477527495,49.49,356.2242857142857,-0.004180915750385623,-1.6561353286468996
1.8,2.5,1.3,0.12,155,0.5419354838709678,0.9176439402324295,-37.57084563614617,12.383266980649687,48.0056129032258,534.8976129032258,-0.010150633060154478,-3.6176115640403492
1.8,2.5,1.3,0.25,155,0.5419354838709678,0.9176439402324295,-37.57084563614617,12.383266980649687,48.0056129032258,534.8976129032258,-0.010150633060154478,-3.6176115640403492
1.8,2.5,1.6,0.12,261,0.5670498084291188,0.9168812903225806,-34.98314818934618,11.529958336896454,49.36168582375479,544.5080459770114,-0.008049455002514841,-2.870776229401611
1.8,2.5,1.6,0.25,261,0.5670498084291188,0.9168812903225806,-34.98314818934618,11.529958336896454,49.36168582375479,544.5080459770114,-0.008049455002514841,-2.870776229401611
1.8,3.0,1.3,0.12,192,0.5208333333333334,0.9394044244950304,-41.8571091161697,19.192060881303462,49.21812499999999,763.0214583333334,-0.016050830943199357,-6.392277489027833
1.8,3.0,1.3,0.25,192,0.5208333333333334,0.9394044244950304,-41.8571091161697,19.192060881303462,49.21812499999999,763.0214583333334,-0.016050830943199357,-6.392277489027833
1.8,3.0,1.6,0.12,292,0.547945205479452,0.9394232958801498,-39.14780904006978,16.93726617949896,55.39034246575343,858.9932191780822,-0.013040134780905885,-4.345437365952119
1.8,3.0,1.6,0.25,292,0.547945205479452,0.9394232958801498,-39.14780904006978,16.93726617949896,55.39034246575343,858.9932191780822,-0.013040134780905885,-4.345437365952119
