Got CBOE DataShop token OK
Real universe: 311 tickers from EVC's own CANDIDATE_POOL
  [178/311] MPC: 0 real events analyzed, 4 skipped
  [179/311] MPWR: 0 real events analyzed, 4 skipped
  [180/311] MRK: 0 real events analyzed, 4 skipped
  [181/311] MRNA: 0 real events analyzed, 4 skipped
  [182/311] MRVL: 0 real events analyzed, 4 skipped
  [183/311] MS: 0 real events analyzed, 4 skipped
  [184/311] MSFT: 0 real events analyzed, 4 skipped
  [185/311] MSTR: 0 real events analyzed, 4 skipped
  [186/311] MTCH: 0 real events analyzed, 4 skipped
  [187/311] MU: 0 real events analyzed, 4 skipped
  [188/311] NBIS: 0 real events analyzed, 4 skipped
  [189/311] NEE: 0 real events analyzed, 4 skipped
  [190/311] NEM: 0 real events analyzed, 4 skipped
  [191/311] NET: 0 real events analyzed, 4 skipped
  [192/311] NFLX: 0 real events analyzed, 4 skipped
  [193/311] NIO: 0 real events analyzed, 4 skipped
  [194/311] NKE: 0 real events analyzed, 4 skipped
  [195/311] NOC: 0 real events analyzed, 4 skipped
  [196/311] NOW: 0 real events analyzed, 4 skipped
  [197/311] NU: 0 real events analyzed, 4 skipped
  [198/311] NUE: 0 real events analyzed, 4 skipped
  [199/311] NVDA: 0 real events analyzed, 4 skipped
  [200/311] O: 0 real events analyzed, 4 skipped
  [201/311] OKTA: 0 real events analyzed, 4 skipped
  [202/311] ON: 0 real events analyzed, 4 skipped
  [203/311] ONON: 0 real events analyzed, 4 skipped
  [204/311] ORCL: 0 real events analyzed, 4 skipped
  [205/311] OXY: 0 real events analyzed, 4 skipped
  [206/311] PANW: 0 real events analyzed, 4 skipped
  [207/311] PARA: 0 real events analyzed, 4 skipped
  [208/311] PCG: 0 real events analyzed, 4 skipped
  [209/311] PDD: 0 real events analyzed, 4 skipped
  [210/311] PENN: 0 real events analyzed, 4 skipped
  [211/311] PEP: 0 real events analyzed, 4 skipped
  [212/311] PFE: 0 real events analyzed, 4 skipped
  [213/311] PG: 0 real events analyzed, 4 skipped
  [214/311] PGR: 0 real events analyzed, 4 skipped
  [215/311] PH: 0 real events analyzed, 4 skipped
  [216/311] PINS: 0 real events analyzed, 4 skipped
  [217/311] PLD: 0 real events analyzed, 4 skipped
  [218/311] PLTR: 0 real events analyzed, 4 skipped
