ticker,earnings_date,timing,outcome_date,spot,expected_move,net_credit,short_put,long_put,short_call,long_call,price_09:30,price_09:35,price_09:45,price_10:00,price_10:30,price_11:00,price_12:00,price_close,payoff_09:30,payoff_09:35,payoff_09:45,payoff_10:00,payoff_10:30,payoff_11:00,payoff_12:00,payoff_close
PM,2026-02-06,BMO,2026-02-06,182.0,9.3,0.52,170.0,167.5,192.5,195.0,179.83,180.89,182.24,182.93,184.45,186.3,184.7,182.77,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
CAT,2026-08-04,BMO,2026-08-04,830.030029296875,61.43,7.09,750.0,740.0,890.0,920.0,922.0,918.79,914.97,885.2,869.26,877.0,878.47,876.21,-15.82,-21.699999999999964,-17.880000000000027,7.09,7.09,7.09,7.09,7.09
CAT,2026-04-30,BMO,2026-04-30,810.0499877929688,45.2,4.8,750.0,740.0,855.0,880.0,853.22,868.99,877.89,885.99,887.55,879.68,892.49,890.62,4.8,-9.190000000000008,-18.089999999999986,-15.399999999999999,-15.399999999999999,-19.87999999999995,-15.399999999999999,-15.399999999999999
CAT,2026-01-29,BMO,2026-01-29,643.280029296875,36.73,3.37,595.0,590.0,680.0,700.0,655.17,656.77,678.76,668.88,653.99,648.41,667.79,664.63,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37
BA,2026-07-28,BMO,2026-07-28,211.5,11.45,0.91,197.5,195.0,225.0,230.0,214.0,214.78,217.06,218.9,221.19,216.0,221.12,221.53,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
BA,2026-01-27,BMO,2026-01-27,248.42999267578125,11.98,1.45,235.0,230.0,260.0,265.0,242.5,243.89,243.45,243.29,241.85,247.06,253.33,244.5,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
GE,2026-07-16,BMO,2026-07-16,360.3500061035156,19.64,2.42,335.0,330.0,380.0,390.0,353.22,349.69,347.37,344.28,347.98,346.11,343.7,345.61,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42
GE,2026-04-21,BMO,2026-04-21,303.6000061035156,15.94,2.7,285.0,280.0,320.0,330.0,293.57,298.76,296.53,291.41,291.07,289.06,285.18,286.78,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
GE,2026-01-22,BMO,2026-01-22,318.5,15.28,1.56,300.0,295.0,335.0,340.0,305.87,301.35,304.21,302.47,299.35,296.69,299.43,295.0,1.56,1.56,1.56,1.56,0.9100000000000228,-1.7500000000000022,0.9900000000000069,-3.44
RTX,2026-07-23,BMO,2026-07-23,194.8800048828125,9.510000000000002,0.57,182.5,180.0,205.0,210.0,205.0,208.61,208.99,211.77,209.92,210.0,210.42,208.97,0.57,-3.040000000000014,-3.4200000000000093,-3.86,-4.349999999999987,-4.43,-3.86,-3.399999999999999
