alert_id,fired_at,session_date,ticker,signal_type,price,pct_b,rsi,vol_ratio,adx,dist_52w_high,tier,checked_at
1196,2026-08-26T15:56:21.710995+00:00,2026-08-26,XLE,BREAKOUT,62.82,71.1,62.9,0.86,27.343310428904857,-1.3098024854473038,PREFER-HIGH,2026-08-26T16:09:36.845875+00:00
1197,2026-08-26T15:59:29.544139+00:00,2026-08-26,VLO,BREAKOUT,346.99,74.9,66.2,0.4,31.181775859727274,-0.6341954858219014,PREFER-MID,2026-08-26T16:09:36.975910+00:00
1198,2026-08-26T17:35:19.177884+00:00,2026-08-26,PLTR,BREAKOUT,176.94,66.4,64.3,0.38,34.23482546951023,-14.156765908455512,PREFER-MID,2026-08-26T17:41:53.561176+00:00
1199,2026-08-26T17:50:20.814831+00:00,2026-08-26,BLK,BREAKOUT,1179.96,83.0,64.9,0.42,31.566831739050947,-1.8368659682973871,PREFER-MID,2026-08-26T17:56:53.305624+00:00
1200,2026-08-26T18:20:20.784608+00:00,2026-08-26,NOW,BREAKOUT,126.08,65.0,58.8,0.44,19.25575818532479,-34.24803649155004,PREFER-HIGH,2026-08-26T18:26:53.278648+00:00
1201,2026-08-26T19:08:26.325299+00:00,2026-08-26,SBUX,BREAKOUT,107.82,81.4,57.3,0.46,11.997478382283687,-0.6632899129075295,PREFER-HIGH,2026-08-26T19:11:53.403662+00:00
1202,2026-08-27T13:30:37.573385+00:00,2026-08-27,XLK,BREAKOUT,186.42,59.2,55.0,0.02,14.094435228489111,-6.023915058255684,PREFER-HIGH,2026-08-27T13:34:11.984642+00:00
1203,2026-08-27T13:30:45.929769+00:00,2026-08-27,PLTR,BREAKOUT,179.71,68.9,65.9,0.01,34.560019359851175,-13.712708469769803,PREFER-MID,2026-08-27T13:34:12.060421+00:00
1204,2026-08-27T13:30:58.399029+00:00,2026-08-27,SPY,BREAKOUT,768.42,51.7,56.5,0.01,14.80618973247903,-1.3176839532652804,PREFER-HIGH,2026-08-27T13:34:12.241983+00:00
1205,2026-08-27T13:33:29.475766+00:00,2026-08-27,ZS,BREAKOUT,181.05,67.2,59.7,0.05,27.693140743942717,-46.23665530890348,PREFER-HIGH,2026-08-27T13:34:12.338033+00:00
