  [82] ITW PRE-BREAKOUT pct_b=83.9 rsi=None adx=27.18008289526979 dist52w=-5.223629365039834 -> UNKNOWN
  [83] PPG PRE-BREAKOUT pct_b=91.6 rsi=None adx=9.253724739858924 dist52w=-13.932802175293752 -> UNKNOWN
  [84] RL PRE-BREAKOUT pct_b=75.6 rsi=None adx=14.917572973885136 dist52w=-10.484005473936332 -> UNKNOWN
  [85] TGT PRE-BREAKOUT pct_b=93.4 rsi=None adx=34.891388584490564 dist52w=0.0 -> UNKNOWN
  [86] URI PRE-BREAKOUT pct_b=86.0 rsi=None adx=15.494948181015353 dist52w=-6.976175841956864 -> UNKNOWN
  [87] WSM PRE-BREAKOUT pct_b=91.8 rsi=None adx=24.251768089872726 dist52w=-5.5643794482327795 -> UNKNOWN
  [88] CHTR BREAKOUT pct_b=113.9 rsi=None adx=18.048307820549372 dist52w=-46.84161836209733 -> PREFER-HIGH
  [89] CMCSA BREAKOUT pct_b=103.2 rsi=None adx=27.74082761044304 dist52w=-16.81034224576446 -> PREFER-HIGH
  [90] INTC PRE-BREAKOUT pct_b=87.9 rsi=63.6 adx=15.632520401071446 dist52w=-38.087128831640584 -> NEUTRAL
  [91] TSLA PRE-BREAKOUT pct_b=76.9 rsi=55.7 adx=20.4169056993619 dist52w=-28.76826799850589 -> AVOID
  [92] QQQ PRE-BREAKOUT pct_b=69.2 rsi=56.4 adx=14.806458585528537 dist52w=-5.339333018952424 -> NEUTRAL
  [93] MRVL PRE-BREAKOUT pct_b=66.8 rsi=59.2 adx=17.716376743115156 dist52w=-27.538476568791424 -> NEUTRAL
  [94] ROKU PRE-BREAKOUT pct_b=69.5 rsi=60.3 adx=51.23503017069842 dist52w=-0.08212045026681435 -> PREFER-HIGH
  [95] RIVN PRE-BREAKOUT pct_b=71.0 rsi=58.4 adx=10.706647302050774 dist52w=-26.05790727244397 -> NEUTRAL
  [96] ARKK PRE-BREAKOUT pct_b=85.5 rsi=58.4 adx=21.346821667428923 dist52w=-9.305091023386037 -> NEUTRAL
  [97] SPY PRE-BREAKOUT pct_b=67.3 rsi=56.0 adx=17.95436186557309 dist52w=-1.852475200446677 -> PREFER-HIGH
  [98] XLI PRE-BREAKOUT pct_b=93.3 rsi=63.9 adx=15.528019727541222 dist52w=-4.026590921678828 -> PREFER-LOW
  [99] IWM PRE-BREAKOUT pct_b=84.5 rsi=63.6 adx=13.873447877940611 dist52w=-2.3337360131933087 -> AVOID
  [100] META BREAKOUT pct_b=85.9 rsi=58.2 adx=16.01246737795798 dist52w=-28.353730274751683 -> PREFER-HIGH
  [101] HOOD BREAKOUT pct_b=76.1 rsi=61.0 adx=16.705148566557895 dist52w=-32.0346332261068 -> PREFER-HIGH
  [102] RCL BREAKOUT pct_b=74.5 rsi=62.0 adx=15.707422879306431 dist52w=-19.910342517775295 -> PREFER-HIGH
  [103] XLF BREAKOUT pct_b=75.5 rsi=63.9 adx=26.134890304768263 dist52w=-0.06865276687674567 -> PREFER-HIGH
  [104] BKNG BREAKOUT pct_b=85.4 rsi=60.8 adx=32.71592394581062 dist52w=-6.5142115134901175 -> PREFER-MID
  [105] TMO BREAKOUT pct_b=86.6 rsi=61.5 adx=34.16796306770194 dist52w=-1.6748802514978642 -> PREFER-MID
  [106] WFC BREAKOUT pct_b=73.9 rsi=59.6 adx=12.658280189541294 dist52w=-12.107063225273329 -> PREFER-HIGH
  [107] UPS BREAKOUT pct_b=58.2 rsi=55.0 adx=26.04234443560316 dist52w=-14.399998982747395 -> PREFER-HIGH
  [108] IBM BREAKOUT pct_b=74.9 rsi=61.0 adx=12.483800747385011 dist52w=-29.82413948413495 -> PREFER-HIGH
  [109] SOFI BREAKOUT pct_b=94.2 rsi=60.4 adx=15.250705592669583 dist52w=-43.371622820346346 -> PREFER-HIGH
  [110] PYPL BREAKOUT pct_b=94.8 rsi=55.4 adx=51.603992341474104 dist52w=-18.980687599582744 -> PREFER-MID
  [111] SCHW BREAKOUT pct_b=94.9 rsi=61.0 adx=49.16897343167049 dist52w=0.0 -> PREFER-MID
  [112] LOW BREAKOUT pct_b=84.6 rsi=56.4 adx=17.31733360119769 dist52w=-24.499813957360555 -> PREFER-HIGH
  [113] XYZ BREAKOUT pct_b=85.6 rsi=59.3 adx=14.934805751039837 dist52w=-3.8516093569693135 -> PREFER-HIGH
  [114] DIA BREAKOUT pct_b=91.9 rsi=67.3 adx=15.522758402101335 dist52w=-1.6875100285054117 -> PREFER-HIGH
  [115] TFC BREAKOUT pct_b=81.3 rsi=58.3 adx=13.94779777233177 dist52w=-8.958967706445621 -> PREFER-HIGH
  [116] RTX BREAKOUT pct_b=87.8 rsi=61.1 adx=31.342107858748545 dist52w=-7.215399297577372 -> PREFER-MID
  [117] VLO BREAKOUT pct_b=88.9 rsi=61.6 adx=31.849163526806375 dist52w=-1.1569741277534475 -> PREFER-MID
  [118] MPC BREAKOUT pct_b=67.1 rsi=57.3 adx=41.613616964509774 dist52w=-1.0076192696831134 -> PREFER-MID
  [119] ABBV PRE-BREAKOUT pct_b=90.0 rsi=72.9 adx=24.684696914499476 dist52w=-0.545178854899513 -> PREFER-MID
  [120] AXP PRE-BREAKOUT pct_b=86.0 rsi=70.9 adx=11.230181593533727 dist52w=-12.356784085348043 -> NEUTRAL
  [121] JNJ PRE-BREAKOUT pct_b=87.7 rsi=67.2 adx=22.367342077860307 dist52w=-0.13532610812761417 -> PREFER-MID
