ticker,direction,entry_date,hold_days,ret_pct
AMAT,long,2025-09-16,10,18.717382304671638
AMAT,long,2025-10-30,10,-6.119103005489901
AMAT,long,2025-12-01,10,4.411938406518456
AMAT,long,2026-02-18,10,-1.0701532132107228
AMAT,long,2026-04-09,10,4.843608997302895
AMAT,long,2026-05-07,10,0.23454358625503158
AMD,short,2022-08-29,10,14.458638346716612
AMD,short,2022-12-13,10,16.42847949851228
AMD,long,2024-03-01,10,-3.4611722382717924
AMD,long,2024-05-17,10,-2.897340044072294
AMD,long,2024-07-09,10,-13.468562710733245
AMD,short,2025-01-13,10,0.9628735445050274
AMD,short,2025-02-26,10,3.963788617132036
AMD,long,2025-10-07,10,10.788918788586411
AMD,long,2026-04-07,10,30.344542011552523
AMD,long,2026-07-01,10,-10.150130734094597
AMZN,long,2023-04-28,10,2.3484625456795305
AMZN,long,2023-06-28,10,4.156972629799105
AMZN,long,2023-07-17,7,-4.763677005358269
AMZN,long,2023-12-20,10,-5.009802949048014
AMZN,long,2024-03-05,10,-0.5821504673796718
AMZN,long,2024-04-03,10,0.7670955695565862
AMZN,long,2024-09-12,10,3.4415587150019133
AMZN,long,2024-11-04,10,2.672435775798565
AMZN,short,2025-04-04,10,-0.10171309239752624
AMZN,long,2025-06-11,10,-0.1333924566657041
AMZN,long,2025-10-29,10,5.408554788419084
AMZN,short,2026-03-30,6,-9.812390654998747
AMZN,long,2026-07-15,8,-7.351351595736366
ARKK,short,2022-12-16,10,8.965929713345899
ARKK,short,2023-04-26,10,-6.419753370669579
ARKK,long,2023-07-05,10,13.209654952374695
ARKK,short,2023-10-23,10,-11.494259880248237
ARKK,long,2024-02-13,10,6.428126008331536
ARKK,short,2024-05-31,10,-1.55092165998314
ARKK,long,2024-07-08,10,3.563666608725047
ARKK,long,2024-10-30,10,16.260673686832327
ARKK,long,2025-01-23,10,1.983741822281515
ARKK,long,2025-02-18,4,-12.989689980290542
ARKK,long,2025-09-16,10,7.612698273166285
ARKK,short,2026-03-27,10,-7.91841444980772
ARKK,short,2026-05-20,6,-10.19227366104747
ARKK,short,2026-07-20,10,2.8661975897320446
AVGO,short,2022-08-25,10,2.0714209709446596
AVGO,long,2023-01-13,10,0.7450408109485274
AVGO,long,2023-02-03,10,-0.40301192679786935
AVGO,long,2023-05-18,10,23.780486031985546
AVGO,short,2025-03-31,10,-8.43212028329825
AVGO,long,2025-09-08,10,-1.1553585572802727
AVGO,long,2025-10-29,10,-4.815241861556718
AVGO,short,2026-03-27,8,-15.583275738932677
AVGO,long,2026-06-03,3,-19.84316118638735
AVGO,long,2026-07-24,10,10.338428045566662
AXP,short,2022-12-20,10,-0.9931630650811263
AXP,long,2023-02-28,1,1.091896566434758
AXP,short,2023-05-03,10,0.7634074193400342
AXP,short,2023-09-25,10,2.2271856252008115
AXP,short,2023-10-23,10,-8.120145224850916
AXP,long,2024-09-17,10,2.707256572067851
AXP,long,2024-10-16,6,-3.1913345312168273
AXP,long,2025-01-17,10,1.1213372592226767
AXP,long,2025-06-26,10,3.1946556875144916
AXP,short,2026-05-12,10,-0.06724361466574624
BA,short,2022-09-02,10,6.643467618016441
BA,long,2022-12-13,10,-1.4284944371410258
BA,long,2023-04-04,10,-1.551883625534345
BA,long,2023-06-05,10,-0.426670886776892
BA,long,2023-07-27,10,1.2794875693245222
BA,short,2024-02-27,10,8.306369278352587
BA,short,2024-08-06,10,-1.9006493726495544
BA,short,2024-11-14,10,-10.397726613874303
BA,long,2025-02-07,10,-2.887828459116759
BA,long,2025-08-27,10,-6.530419390435494
BA,long,2025-10-28,2,-10.821892812107903
BA,long,2026-05-12,3,-7.744767576081979
BA,long,2026-07-07,5,-7.965236868288383
BAC,short,2022-09-26,10,2.1072792268295504
BAC,short,2022-12-06,10,6.884585158013657
BAC,short,2023-08-16,10,2.386551544445903
BAC,short,2023-09-25,10,4.327274669300429
BAC,long,2024-03-05,10,3.149151057860422
BAC,long,2024-07-09,10,4.048090269442484
BAC,long,2024-09-16,10,2.2416874545217125
BAC,long,2024-10-10,10,6.598358698067885
BAC,long,2025-06-24,10,0.19251369537516272
BAC,short,2026-05-12,10,-0.47187939616477603
BKNG,long,2023-03-03,9,-6.157310192401589
